,Target,Direction,Opportunities,Hits,Hit rate (%),Timeout rate (%),TTT p25 (min),TTT median (min),TTT p75 (min),Bullish close (%),Close ≥ mid (%),Avg body ratio,Avg upper wick ratio,Avg lower wick ratio,%-Move p25 (%),%-Move median (%),%-Move p75 (%)
0,orb_high,up,122,102,83.6,16.4,15,30,75,50,52.9,0.5350868675179906,0.2361206623652159,0.22879247011679354,-0.03,0.08,0.22
6,orb_low,down,122,101,82.8,17.2,15,15,60,47.5,47.5,0.5511191018131261,0.23456100688388273,0.2143198913029913,-0.21,-0.11,-0
7,L1_bear,down,122,85,69.7,30.3,15,45,105,45.9,48.2,0.560663797894405,0.21957528209292676,0.21976092001266825,-0.4,-0.23,-0.09
1,L1_bull,up,122,83,68,32,15,60,135,45.8,49.4,0.5092485412761845,0.24209043697926164,0.24866102174455387,0.08,0.21,0.39
2,L2_bull,up,122,70,57.4,42.6,60,112.5,221.2,47.1,48.6,0.5096107133228132,0.23525599770362382,0.25513328897356297,0.15,0.34,0.52
8,L2_bear,down,122,68,55.7,44.3,45,97.5,195,50,48.5,0.5896665767374184,0.1901959029601838,0.22013752030239767,-0.51,-0.34,-0.18
3,L3_bull,up,122,44,36.1,63.9,120,202.5,375,50,50,0.5191553936774379,0.21820507856277863,0.2626395277597835,0.3,0.56,0.82
9,L3_bear,down,122,35,28.7,71.3,75,135,180,48.6,45.7,0.5845575740887574,0.20393987320239526,0.21150255270884724,-0.75,-0.5,-0.35
4,prev_day_high,up,122,32,26.2,73.8,15,142.5,228.8,50,43.8,0.506750972165514,0.2493543975763025,0.24389463025818348,0.15,0.41,0.82
11,prev_week_low,down,122,26,21.3,78.7,15,15,26.2,46.2,53.8,0.5518868878546084,0.22663269831984412,0.22148041382554745,-0.35,1.21,2.05
5,prev_week_high,up,122,24,19.7,80.3,15,15,15,58.3,54.2,0.522687491574792,0.21276508313038536,0.26454742529482256,-2.53,-0.57,-0.16
10,prev_day_low,down,122,24,19.7,80.3,26.2,67.5,210,50,45.8,0.6071153365250336,0.21378053621280213,0.17910412726216432,-0.69,-0.49,-0.08
